order_item_id,order_id,product_id,quantity,unit_price,updated_at
1,1,4,3,166.73,2026-01-15 05:00:00
2,1,2,2,194.76,2026-01-15 05:00:00
3,2,7,3,155.75,2026-01-17 00:00:00
4,2,9,2,79.12,2026-01-17 00:00:00
5,3,1,3,147.3,2026-01-18 15:00:00
6,4,10,3,128.96,2026-01-15 14:00:00
7,5,8,2,171.79,2026-01-13 14:00:00
8,5,5,2,117.58,2026-01-13 14:00:00
9,5,4,3,166.73,2026-01-13 14:00:00
10,6,7,3,155.75,2026-01-19 07:00:00
11,6,4,2,166.73,2026-01-19 07:00:00
12,6,9,4,79.12,2026-01-19 07:00:00
13,7,3,4,20.37,2026-01-12 07:00:00
14,8,10,4,128.96,2026-01-17 16:00:00
15,8,9,3,79.12,2026-01-17 16:00:00
16,9,2,3,194.76,2026-01-17 05:00:00
17,9,6,1,13.94,2026-01-17 05:00:00
18,9,5,4,117.58,2026-01-17 05:00:00
19,10,5,2,117.58,2026-01-13 00:00:00
20,10,9,1,79.12,2026-01-13 00:00:00
21,10,5,2,117.58,2026-01-13 00:00:00
22,11,9,1,79.12,2026-01-12 23:00:00
23,11,10,3,128.96,2026-01-12 23:00:00
24,11,8,1,171.79,2026-01-12 23:00:00
25,12,1,2,147.3,2026-01-12 12:00:00
26,13,8,1,171.79,2026-01-17 09:00:00
27,13,9,2,79.12,2026-01-17 09:00:00
28,13,3,4,20.37,2026-01-17 09:00:00
29,14,10,4,128.96,2026-01-17 04:00:00
30,14,4,2,166.73,2026-01-17 04:00:00
31,14,5,4,117.58,2026-01-17 04:00:00
32,15,8,1,171.79,2026-01-18 11:00:00
33,15,4,2,166.73,2026-01-18 11:00:00
34,15,2,3,194.76,2026-01-18 11:00:00
35,16,10,2,128.96,2026-01-11 13:00:00
36,17,1,2,147.3,2026-01-11 09:00:00
37,17,2,1,194.76,2026-01-11 09:00:00
38,17,6,1,13.94,2026-01-11 09:00:00
39,18,8,2,171.79,2026-01-16 19:00:00
40,18,9,2,79.12,2026-01-16 19:00:00
41,18,10,4,128.96,2026-01-16 19:00:00
42,19,2,1,194.76,2026-01-13 22:00:00
43,20,7,4,155.75,2026-01-18 08:00:00
44,20,1,1,147.3,2026-01-18 08:00:00
45,21,2,2,194.76,2026-01-11 23:00:00
46,21,4,2,166.73,2026-01-11 23:00:00
47,22,3,3,20.37,2026-01-17 01:00:00
48,22,8,2,171.79,2026-01-17 01:00:00
49,23,1,1,147.3,2026-01-12 03:00:00
50,24,8,4,171.79,2026-01-12 07:00:00
51,24,4,4,166.73,2026-01-12 07:00:00
52,25,7,3,155.75,2026-01-11 23:00:00
53,26,9,4,79.12,2026-01-19 16:00:00
54,26,3,2,20.37,2026-01-19 16:00:00
55,27,9,1,79.12,2026-01-14 11:00:00
56,27,6,1,13.94,2026-01-14 11:00:00
57,27,1,4,147.3,2026-01-14 11:00:00
58,28,9,1,79.12,2026-01-16 16:00:00
59,29,4,4,166.73,2026-01-13 07:00:00
60,30,10,1,128.96,2026-01-12 14:00:00
61,30,10,1,128.96,2026-01-12 14:00:00
62,30,7,3,155.75,2026-01-12 14:00:00
63,31,6,2,13.94,2026-01-14 02:00:00
64,31,5,4,117.58,2026-01-14 02:00:00
65,31,3,3,20.37,2026-01-14 02:00:00
66,32,8,1,171.79,2026-01-16 05:00:00
67,33,5,2,117.58,2026-01-12 02:00:00
68,33,6,1,13.94,2026-01-12 02:00:00
69,33,4,3,166.73,2026-01-12 02:00:00
70,34,5,1,117.58,2026-01-14 08:00:00
71,34,9,3,79.12,2026-01-14 08:00:00
72,34,2,2,194.76,2026-01-14 08:00:00
73,35,9,2,79.12,2026-01-14 03:00:00
74,35,5,3,117.58,2026-01-14 03:00:00
75,35,10,2,128.96,2026-01-14 03:00:00
76,36,5,4,117.58,2026-01-18 23:00:00
77,36,5,1,117.58,2026-01-18 23:00:00
78,36,2,4,194.76,2026-01-18 23:00:00
79,37,6,2,13.94,2026-01-20 04:00:00
80,38,8,4,171.79,2026-01-18 03:00:00
81,38,9,1,79.12,2026-01-18 03:00:00
82,38,2,1,194.76,2026-01-18 03:00:00
83,39,6,2,13.94,2026-01-18 16:00:00
84,40,6,1,13.94,2026-01-15 22:00:00
85,40,6,2,13.94,2026-01-15 22:00:00
