order_id,customer_id,order_status,ordered_at,updated_at
1,6,paid,2026-01-15 10:00:00,2026-01-15 10:00:00
2,8,paid,2026-01-17 00:00:00,2026-01-17 00:00:00
3,11,paid,2026-01-18 15:00:00,2026-01-18 15:00:00
4,9,paid,2026-01-15 14:00:00,2026-01-15 14:00:00
5,16,shipped,2026-01-13 14:00:00,2026-01-13 14:00:00
6,19,shipped,2026-01-19 07:00:00,2026-01-19 07:00:00
7,2,paid,2026-01-12 07:00:00,2026-01-12 07:00:00
8,3,shipped,2026-01-17 16:00:00,2026-01-17 16:00:00
9,1,completed,2026-01-17 05:00:00,2026-01-17 05:00:00
10,15,paid,2026-01-13 00:00:00,2026-01-13 00:00:00
11,12,paid,2026-01-12 23:00:00,2026-01-12 23:00:00
12,12,shipped,2026-01-12 12:00:00,2026-01-12 12:00:00
13,3,paid,2026-01-17 09:00:00,2026-01-17 09:00:00
14,6,shipped,2026-01-17 04:00:00,2026-01-17 04:00:00
15,12,shipped,2026-01-18 11:00:00,2026-01-18 11:00:00
16,19,completed,2026-01-11 13:00:00,2026-01-11 13:00:00
17,3,completed,2026-01-11 09:00:00,2026-01-11 09:00:00
18,8,shipped,2026-01-16 19:00:00,2026-01-16 19:00:00
19,16,shipped,2026-01-13 22:00:00,2026-01-13 22:00:00
20,14,shipped,2026-01-18 08:00:00,2026-01-18 08:00:00
21,13,completed,2026-01-11 23:00:00,2026-01-11 23:00:00
22,15,paid,2026-01-17 01:00:00,2026-01-17 01:00:00
23,15,completed,2026-01-12 03:00:00,2026-01-12 03:00:00
24,8,paid,2026-01-12 07:00:00,2026-01-12 07:00:00
25,6,shipped,2026-01-11 23:00:00,2026-01-11 23:00:00
26,15,shipped,2026-01-19 16:00:00,2026-01-19 16:00:00
27,7,paid,2026-01-14 11:00:00,2026-01-14 11:00:00
28,17,paid,2026-01-16 16:00:00,2026-01-16 16:00:00
29,3,completed,2026-01-13 07:00:00,2026-01-13 07:00:00
30,19,paid,2026-01-12 14:00:00,2026-01-12 14:00:00
31,7,completed,2026-01-14 02:00:00,2026-01-14 02:00:00
32,11,paid,2026-01-16 05:00:00,2026-01-16 05:00:00
33,18,paid,2026-01-12 02:00:00,2026-01-12 02:00:00
34,6,shipped,2026-01-14 08:00:00,2026-01-14 08:00:00
35,4,paid,2026-01-14 03:00:00,2026-01-14 03:00:00
36,11,paid,2026-01-18 23:00:00,2026-01-18 23:00:00
37,9,paid,2026-01-20 04:00:00,2026-01-20 04:00:00
38,9,paid,2026-01-18 03:00:00,2026-01-18 03:00:00
39,5,completed,2026-01-18 16:00:00,2026-01-18 16:00:00
40,5,paid,2026-01-15 22:00:00,2026-01-15 22:00:00
