order_item_id,order_id,product_id,quantity,unit_price,updated_at
86,41,4,2,166.73,2026-01-27 07:00:00
87,42,6,4,13.94,2026-01-23 05:00:00
88,42,11,2,49.9,2026-01-23 05:00:00
89,42,5,2,117.58,2026-01-23 05:00:00
90,43,4,2,166.73,2026-01-22 11:00:00
91,43,8,3,171.79,2026-01-22 11:00:00
92,44,4,4,166.73,2026-01-24 14:00:00
93,44,6,3,13.94,2026-01-24 14:00:00
94,44,2,3,194.76,2026-01-24 14:00:00
95,45,6,1,13.94,2026-01-25 01:00:00
96,45,2,3,194.76,2026-01-25 01:00:00
97,45,3,3,20.37,2026-01-25 01:00:00
98,46,6,4,13.94,2026-01-21 17:00:00
99,46,10,1,128.96,2026-01-21 17:00:00
100,47,7,1,155.75,2026-01-25 10:00:00
101,47,9,2,79.12,2026-01-25 10:00:00
102,47,6,4,13.94,2026-01-25 10:00:00
103,48,2,3,194.76,2026-01-22 01:00:00
104,48,9,3,79.12,2026-01-22 01:00:00
105,48,11,4,49.9,2026-01-22 01:00:00
106,49,3,2,20.37,2026-01-24 19:00:00
107,49,7,4,155.75,2026-01-24 19:00:00
108,49,11,2,49.9,2026-01-24 19:00:00
109,50,5,3,117.58,2026-01-27 21:00:00
110,51,11,3,49.9,2026-01-23 13:00:00
111,51,8,4,171.79,2026-01-23 13:00:00
112,51,8,2,171.79,2026-01-23 13:00:00
113,52,11,1,49.9,2026-01-26 18:00:00
114,53,6,1,13.94,2026-01-24 08:00:00
115,53,4,3,166.73,2026-01-24 08:00:00
116,53,4,2,166.73,2026-01-24 08:00:00
117,54,10,1,128.96,2026-01-22 21:00:00
118,54,8,4,171.79,2026-01-22 21:00:00
119,55,8,4,-19.99,2026-01-28 01:00:00
120,55,4,2,166.73,2026-01-28 01:00:00
121,56,4,2,166.73,2026-01-28 07:00:00
122,56,9,4,79.12,2026-01-28 07:00:00
123,57,3,4,20.37,2026-01-21 20:00:00
124,57,11,3,49.9,2026-01-21 20:00:00
125,58,3,4,20.37,2026-01-26 01:00:00
126,58,8,3,171.79,2026-01-26 01:00:00
127,59,11,2,49.9,2026-01-23 23:00:00
128,59,5,4,117.58,2026-01-23 23:00:00
129,60,6,1,13.94,2026-01-22 03:00:00
130,60,3,2,20.37,2026-01-22 03:00:00
